naan	1
lamb	1
paneer	1
tandoori	1
samosas	1
vindaloo	1
korma	1
dosa	1
saag	1
chutney	1
samosa	1
butter	1
biryani	1
masala	1
goat	1
aloo	1
basmati	1
vegetable	1
chutneys	1
pakora	1
dal	1
pudding	1
makhani	1
thali	1
sauces	1
gobi	1
palak	1
chai	1
kheer	1
peas	1
tamarind	1
plain	0
raita	1
sambar	1
pakoras	1
lentils	1
cauliflower	1
bread	1
chaat	1
manchurian	1
spinach	1
chana	1
tikki	1
daal	1
okra	1
josh	1
dosai	1
rogan	1
paratha	1
roti	1
naans	1
indian	1
buffet	0
india	0
buffets	0
south	0
palace	0
dhaba	0
everest	0
bombay	0
mt	0
selection	0
vegetarian	0
edinburgh	0
tamba	0
mint	0
cuisine	0
variety	0
namaste	0
maharaja	0
taj	0
indians	0
mount	0
carte	0
saffron	0
indo	0
gandhi	0
dosas	1
biriyani	1
woodlands	0
bistro	0
india's	0
vegetarians	0
ambience	0
punjabi	0
cholas	1
himalayan	0
vick	0
london	0
dum	0
krishna	0
favourite	0
origin	0
british	0
delhi	0
americans	0
buffett	0
ala	0
pakastani	0
tikka	1
lassi	1
nan	1
kofta	1
malai	1
mosque	0
udupi	0
takeaway	0
riviera	0
mahal	0
court	0
mantra	0
tandori	1
marsala	1
tika	1
kebab	1
kebabs	1
pakistani	0
rani's	0
lassis	1
kulfi	1
shahi	0
idlis	1
takeaways	0
rasam	1
centre	0
jain	0
pistachio	1
mezbaan	0
massala	1
steep	0
inchin	0
vadai	1
lassie	1
swagat	0
chilli	1
ras	0
k2	0
whilst	0
minerva	0
masalas	1
yogurt	1
mumbai	0
connection	0
om	0
nans	1
belly	0
nepalese	0
groupon	0
bollywood	0
dancer	0
dancing	0
tuk	0
byob	0
poppadoms	1
kismot	0
gulab	1
noor	0
lovely	0
jamun	1
tapas	1
waiters	0
rose	0
videos	0
marked	0
garry	0
hawaiian	0
marketplace	0
refilled	0
details	0
plates	0
clearly	0
metal	0
corkage	0
leith	0
momos	1
families	0
inferno	0
voucher	0
voujon	0
starters	0
khushi's	0
cocktails	0
pickle	1
melque	0
wee	0
raj	0
incense	0
bindi	1
festival	0
gaylord	0
movies	0
offering	0
groceries	0